# Foundry naming map (generated by generate_map.py).
# Do not edit by hand: edit seed.tsv and regenerate.
# Applied LONGEST-MATCH-FIRST. Excludes thirdparty/** and .git/**.
#
# from	to	category	context	notes
GDExtensionWorkerThreadPoolGroupTask	FoundryExtensionWorkerThreadPoolGroupTask	B	code	generated
GODOT_WINDOWS_CODESIGN_IDENTITY_TYPE	FOUNDRY_WINDOWS_CODESIGN_IDENTITY_TYPE	D	code	generated
GDExtensionClassCallVirtualWithData	FoundryExtensionClassCallVirtualWithData	B	code	generated
GDExtensionClassGetVirtualCallData2	FoundryExtensionClassGetVirtualCallData2	B	code	generated
GDExtensionClassMethodValidatedCall	FoundryExtensionClassMethodValidatedCall	B	code	generated
GDExtensionInstanceBindingCallbacks	FoundryExtensionInstanceBindingCallbacks	B	code	generated
GDExtensionInterfaceGetGodotVersion	FoundryExtensionInterfaceGetGodotVersion	B	code	generated
GDExtensionInterfaceHeaderGenerator	FoundryExtensionInterfaceHeaderGenerator	B	code	generated
GDExtensionMainLoopShutdownCallback	FoundryExtensionMainLoopShutdownCallback	B	code	generated
GODOT_ANDROID_KEYSTORE_RELEASE_PATH	FOUNDRY_ANDROID_KEYSTORE_RELEASE_PATH	D	code	generated
GODOT_ANDROID_KEYSTORE_RELEASE_USER	FOUNDRY_ANDROID_KEYSTORE_RELEASE_USER	D	code	generated
GODOT_CLANG_WARNING_PUSH_AND_IGNORE	FOUNDRY_CLANG_WARNING_PUSH_AND_IGNORE	D	code	generated
GODOT_MACOS_NOTARIZATION_API_KEY_ID	FOUNDRY_MACOS_NOTARIZATION_API_KEY_ID	D	code	generated
GODOT_NIR_DESCRIPTOR_SET_MULTIPLIER	FOUNDRY_NIR_DESCRIPTOR_SET_MULTIPLIER	D	code	generated
GODOT_animation_time_begin_time_end	FOUNDRY_animation_time_begin_time_end	D	code	generated
TestGDScriptTraitReflectionAccessor	TestFSTraitReflectionAccessor	A	code
check_for_rename_gdscript_functions	check_for_rename_foundry_script_functions	A	code
generate_gdextension_interface_file	generate_foundry_extension_interface_file	B	code
GDExtensionClassGetVirtualCallData	FoundryExtensionClassGetVirtualCallData	B	code	generated
GDExtensionInterfaceGetProcAddress	FoundryExtensionInterfaceGetProcAddress	B	code	generated
GDExtensionMainLoopStartupCallback	FoundryExtensionMainLoopStartupCallback	B	code	generated
GDExtensionScriptInstanceGetScript	FoundryExtensionScriptInstanceGetScript	B	code	generated
GDExtensionScriptInstanceHasMethod	FoundryExtensionScriptInstanceHasMethod	B	code	generated
GDExtensionUninitializedVariantPtr	FoundryExtensionUninitializedVariantPtr	B	code	generated
GODOT_EMBEDDED_CLIENT_FOCUS_WINDOW	FOUNDRY_EMBEDDED_CLIENT_FOCUS_WINDOW	D	code	generated
GODOT_MSVC_WARNING_PUSH_AND_IGNORE	FOUNDRY_MSVC_WARNING_PUSH_AND_IGNORE	D	code	generated
GODOT_MTL_DISABLE_ARGUMENT_BUFFERS	FOUNDRY_MTL_DISABLE_ARGUMENT_BUFFERS	D	code	generated
check_for_rename_gdscript_keywords	check_for_rename_foundry_script_keywords	A	code
getPluginGDExtensionLibrariesPaths	getPluginFoundryExtensionLibrariesPaths	B	code
GDExtensionCallableCustomLessThan	FoundryExtensionCallableCustomLessThan	B	code	generated
GDExtensionCallableCustomToString	FoundryExtensionCallableCustomToString	B	code	generated
GDExtensionClassFreePropertyList2	FoundryExtensionClassFreePropertyList2	B	code	generated
GDExtensionClassPropertyCanRevert	FoundryExtensionClassPropertyCanRevert	B	code	generated
GDExtensionClassPropertyGetRevert	FoundryExtensionClassPropertyGetRevert	B	code	generated
