# Foundry PROSE-SAFE naming map (derived from naming_map.tsv).
# Do not edit by hand: edit seed.tsv and regenerate.
# Applied LONGEST-MATCH-FIRST. Excludes thirdparty/** and .git/**.
#
# from	to	category	context	notes
GODOT_MONO_DEBUGGER_AGENT	FOUNDRY_MONO_DEBUGGER_AGENT	D	code	generated
GODOT_MSVC_WARNING_IGNORE	FOUNDRY_MSVC_WARNING_IGNORE	D	code	generated
GODOT_VERSION_DOCS_BRANCH	FOUNDRY_VERSION_DOCS_BRANCH	D	code	generated
GODOT_VERSION_FULL_CONFIG	FOUNDRY_VERSION_FULL_CONFIG	D	code	generated
TestGDScriptCacheAccessor	TestFSCacheAccessor	A	code
_get_gdscript_cache_mutex	_get_fs_cache_mutex	A	code
getGDExtensionConfigFiles	getFoundryExtensionConfigFiles	B	code	android JNI method name (both sides)
load_gdextension_resource	load_foundry_extension_resource	B	code
rename_gdscript_functions	rename_foundry_script_functions	A	code
GDScriptLanguageProtocol	FSLanguageProtocol	A	code
GODOT_CALL_ERROR_CALL_OK	FOUNDRY_CALL_ERROR_CALL_OK	D	code	generated
GODOT_CLANG_WARNING_PUSH	FOUNDRY_CLANG_WARNING_PUSH	D	code	generated
GODOT_GCC_WARNING_IGNORE	FOUNDRY_GCC_WARNING_IGNORE	D	code	generated
GODOT_MTL_TARGET_VERSION	FOUNDRY_MTL_TARGET_VERSION	D	code	generated
GODOT_VERSION_FULL_BUILD	FOUNDRY_VERSION_FULL_BUILD	D	code	generated
GODOT_VERSION_SHORT_NAME	FOUNDRY_VERSION_SHORT_NAME	D	code	generated
STRUCTURED_TEXT_GDSCRIPT	STRUCTURED_TEXT_FOUNDRY_SCRIPT	A	code	TextServer enum
keyword_gdscript_onready	keyword_foundry_script_onready	A	code
p_gdextension_extensions	p_foundry_extension_extensions	B	code
rename_gdscript_keywords	rename_foundry_script_keywords	A	code
GODOT_CLANG_WARNING_POP	FOUNDRY_CLANG_WARNING_POP	D	code	generated
GODOT_EDITOR_CLASS_NAME	FOUNDRY_EDITOR_CLASS_NAME	D	code	generated
GODOT_MSVC_WARNING_PUSH	FOUNDRY_MSVC_WARNING_PUSH	D	code	generated
GODOT_PACKED_ARRAY_SIZE	FOUNDRY_PACKED_ARRAY_SIZE	D	code	generated
GODOT_VERSION_FULL_NAME	FOUNDRY_VERSION_FULL_NAME	D	code	generated
GODOT_VERSION_TIMESTAMP	FOUNDRY_VERSION_TIMESTAMP	D	code	generated
MODULE_GDSCRIPT_ENABLED	MODULE_FOUNDRY_SCRIPT_ENABLED	A	code	module enable macro (build-critical)
generate_gdscript_tests	generate_foundry_script_tests	A	code
initialize_gdextensions	initialize_foundry_extensions	B	code
keyword_gdscript_master	keyword_foundry_script_master	A	code
keyword_gdscript_puppet	keyword_foundry_script_puppet	A	code
keyword_gdscript_remote	keyword_foundry_script_remote	A	code
p_gdextension_libs_path	p_foundry_extension_libs_path	B	code
GDScriptLanguageServer	FSLanguageServer	A	code
GODOT_GCC_WARNING_PUSH	FOUNDRY_GCC_WARNING_PUSH	D	code	generated
GODOT_MSVC_WARNING_POP	FOUNDRY_MSVC_WARNING_POP	D	code	generated
GODOT_REAL_T_IS_DOUBLE	FOUNDRY_REAL_T_IS_DOUBLE	D	code	generated
GODOT_STRING_NAME_SIZE	FOUNDRY_STRING_NAME_SIZE	D	code	generated
GODOT_TRANSFORM2D_SIZE	FOUNDRY_TRANSFORM2D_SIZE	D	code	generated
GODOT_TRANSFORM3D_SIZE	FOUNDRY_TRANSFORM3D_SIZE	D	code	generated
GODOT_VERSION_DOCS_URL	FOUNDRY_VERSION_DOCS_URL	D	code	generated
ScopedGDScriptLanguage	ScopedFSLanguage	A	code
_gdextensions_reloaded	_foundry_extensions_reloaded	B	code
fuzz_gdscript_linuxbsd	fuzz_foundry_script_linuxbsd	A	code	fuzz harness (file + symbol)
keyword_gdscript_slave	keyword_foundry_script_slave	A	code
parse_gdextension_file	parse_foundry_extension_file	B	code
shallow_gdscript_cache	shallow_fs_cache	A	code
GDExtensionMethodBind	FoundryExtensionMethodBind	B	code
GDSCriptFunctionState	FSFunctionState	A	code	comment typo for GDScriptFunctionState
GODOT_DICTIONARY_SIZE	FOUNDRY_DICTIONARY_SIZE	D	code	generated
GODOT_GCC_WARNING_POP	FOUNDRY_GCC_WARNING_POP	D	code	generated
GODOT_PROJECTION_SIZE	FOUNDRY_PROJECTION_SIZE	D	code	generated
GODOT_QUATERNION_SIZE	FOUNDRY_QUATERNION_SIZE	D	code	generated
GODOT_THREADS_ENABLED	FOUNDRY_THREADS_ENABLED	D	code	generated
GODOT_USE_INSTRUMENTS	FOUNDRY_USE_INSTRUMENTS	D	code	generated
GODOT_VERSION_WEBSITE	FOUNDRY_VERSION_WEBSITE	D	code	generated
GODOT_WAYLAND_DISPLAY	FOUNDRY_WAYLAND_DISPLAY	D	code	generated
finalize_gdextensions	finalize_foundry_extensions	B	code
keyword_gdscript_sync	keyword_foundry_script_sync	A	code
keyword_gdscript_tool	keyword_foundry_script_tool	A	code
process_gdscript_line	process_foundry_script_line	A	code
static_gdscript_cache	static_fs_cache	A	code
EditorExportGDScript	EditorExportFoundryScript	A	code
ExtendGDScriptParser	ExtendFSParser	A	code
GDExtensionInterface	FoundryExtensionInterface	B	code
GDScriptTextDocument	FSTextDocument	A	code
GODOT_APP_CLASS_NAME	FOUNDRY_APP_CLASS_NAME	D	code	generated
GODOT_MTL_OFF_SCREEN	FOUNDRY_MTL_OFF_SCREEN	D	code	generated
GODOT_NODE_PATH_SIZE	FOUNDRY_NODE_PATH_SIZE	D	code	generated
GODOT_SPLASH_CLASSES	FOUNDRY_SPLASH_CLASSES	D	code	generated
GODOT_VERSION_BRANCH	FOUNDRY_VERSION_BRANCH	D	code	generated
GODOT_VERSION_NUMBER	FOUNDRY_VERSION_NUMBER	D	code	generated
GODOT_VERSION_STATUS	FOUNDRY_VERSION_STATUS	D	code	generated
GDScriptNativeClass	FSNativeClass	A	code
GODOT_CALLABLE_SIZE	FOUNDRY_CALLABLE_SIZE	D	code	generated
GODOT_VECTOR2I_SIZE	FOUNDRY_VECTOR2I_SIZE	D	code	generated
GODOT_VECTOR3I_SIZE	FOUNDRY_VECTOR3I_SIZE	D	code	generated
GODOT_VECTOR4I_SIZE	FOUNDRY_VECTOR4I_SIZE	D	code	generated
GODOT_VERSION_BUILD	FOUNDRY_VERSION_BUILD	D	code	generated
GODOT_VERSION_MAJOR	FOUNDRY_VERSION_MAJOR	D	code	generated
GODOT_VERSION_MINOR	FOUNDRY_VERSION_MINOR	D	code	generated
GODOT_VERSION_PATCH	FOUNDRY_VERSION_PATCH	D	code	generated
GODOT_WEB_TEST_PORT	FOUNDRY_WEB_TEST_PORT	D	code	generated
_GDScriptMemberSort	_FSMemberSort	A	code
full_gdscript_cache	full_fs_cache	A	code
fuzz_gdscript_macos	fuzz_foundry_script_macos	A	code	fuzz harness (file + symbol)
GDExtensionManager	FoundryExtensionManager	B	code
GODOT_CLANG_PRAGMA	FOUNDRY_CLANG_PRAGMA	D	code	generated
GODOT_DOCS_PATTERN	FOUNDRY_DOCS_PATTERN	D	code	generated
GODOT_HEAD_INCLUDE	FOUNDRY_HEAD_INCLUDE	D	code	generated
GODOT_LICENSE_TEXT	FOUNDRY_LICENSE_TEXT	D	code	generated
GODOT_PROJECT_NAME	FOUNDRY_PROJECT_NAME	D	code	generated
GODOT_SPLASH_COLOR	FOUNDRY_SPLASH_COLOR	D	code	generated
GODOT_USE_PERFETTO	FOUNDRY_USE_PERFETTO	D	code	generated
GODOT_VARIANT_SIZE	FOUNDRY_VARIANT_SIZE	D	code	generated
GODOT_VECTOR2_SIZE	FOUNDRY_VECTOR2_SIZE	D	code	generated
GODOT_VECTOR3_SIZE	FOUNDRY_VECTOR3_SIZE	D	code	generated
GODOT_VECTOR4_SIZE	FOUNDRY_VECTOR4_SIZE	D	code	generated
GODOT_VERSION_HASH	FOUNDRY_VERSION_HASH	D	code	generated
GODOT_VERSION_NAME	FOUNDRY_VERSION_NAME	D	code	generated
GDExtensionLoader	FoundryExtensionLoader	B	code
GDScriptTokenizer	FSTokenizer	A	code
GDScriptWorkspace	FSWorkspace	A	code
GODOT_DLOPEN_MODE	FOUNDRY_DLOPEN_MODE	D	code	generated
GODOT_MSVC_PRAGMA	FOUNDRY_MSVC_PRAGMA	D	code	generated
GODOT_RECT2I_SIZE	FOUNDRY_RECT2I_SIZE	D	code	generated
GODOT_SIGNAL_SIZE	FOUNDRY_SIGNAL_SIZE	D	code	generated
GODOT_STRING_SIZE	FOUNDRY_STRING_SIZE	D	code	generated
GODOT_VERSION_HEX	FOUNDRY_VERSION_HEX	D	code	generated
LANGUAGE_GDSCRIPT	LANGUAGE_FOUNDRY_SCRIPT	A	code	editor_help enum
ObjectGDExtension	ObjectFoundryExtension	B	code	core object extension hook struct
expected_gdscript	expected_foundry_script	A	code
p_gdscript_member	p_fs_member	A	code
GDREGISTER_CLASS	FOUNDRY_REGISTER_CLASS	C	code
GDScriptAnalyzer	FSAnalyzer	A	code
GDScriptCompiler	FSCompiler	A	code
GDScriptFunction	FSFunction	A	code
GDScriptInstance	FSInstance	A	code
GDScriptLanguage	FSLanguage	A	code
GODOT_ARRAY_SIZE	FOUNDRY_ARRAY_SIZE	D	code	generated
GODOT_BASIS_SIZE	FOUNDRY_BASIS_SIZE	D	code	generated
GODOT_COLOR_SIZE	FOUNDRY_COLOR_SIZE	D	code	generated
GODOT_GCC_PRAGMA	FOUNDRY_GCC_PRAGMA	D	code	generated
GODOT_JAVASCRIPT	FOUNDRY_JAVASCRIPT	D	code	generated
GODOT_PLANE_SIZE	FOUNDRY_PLANE_SIZE	D	code	generated
