# Foundry naming map (generated by generate_map.py).
# Do not edit by hand: edit seed.tsv and regenerate.
# Applied LONGEST-MATCH-FIRST. Excludes thirdparty/** and .git/**.
#
# from	to	category	context	notes
GDExtensionPtrIndexedSetter	FoundryExtensionPtrIndexedSetter	B	code	generated
resource_loader_gdextension	resource_loader_foundry_extension	B	code
GDExtensionClassGetVirtual	FoundryExtensionClassGetVirtual	B	code	generated
GDExtensionClassLibraryPtr	FoundryExtensionClassLibraryPtr	B	code	generated
GDExtensionClassMethodCall	FoundryExtensionClassMethodCall	B	code	generated
GDExtensionClassMethodInfo	FoundryExtensionClassMethodInfo	B	code	generated
GDExtensionConstVariantPtr	FoundryExtensionConstVariantPtr	B	code	generated
GDExtensionPtrKeyedChecker	FoundryExtensionPtrKeyedChecker	B	code	generated
GDExtensionVariantOperator	FoundryExtensionVariantOperator	B	code	generated
dump-gdextension-interface	dump-foundryextension-interface	B	code	CLI flag (covers -json suffix)
dump_gdextension_interface	dump_foundry_extension_interface	B	code
load_platform_gdextensions	load_platform_foundry_extensions	B	code
GDExtensionClassReference	FoundryExtensionClassReference	B	code	generated
GDExtensionConstObjectPtr	FoundryExtensionConstObjectPtr	B	code	generated
GDExtensionConstStringPtr	FoundryExtensionConstStringPtr	B	code	generated
GDExtensionFunctionLoader	FoundryExtensionFunctionLoader	B	code	generated
GDExtensionInitialization	FoundryExtensionInitialization	B	code	generated
GDExtensionPtrConstructor	FoundryExtensionPtrConstructor	B	code	generated
GDExtensionPtrKeyedGetter	FoundryExtensionPtrKeyedGetter	B	code	generated
GDExtensionPtrKeyedSetter	FoundryExtensionPtrKeyedSetter	B	code	generated
GDExtensionResourceLoader	FoundryExtensionResourceLoader	B	code	generated
getGDExtensionConfigFiles	getFoundryExtensionConfigFiles	B	code	android JNI method name (both sides)
load_gdextension_resource	load_foundry_extension_resource	B	code
GDExtensionCallErrorType	FoundryExtensionCallErrorType	B	code	generated
GDExtensionClassToString	FoundryExtensionClassToString	B	code	generated
GDExtensionEditorPlugins	FoundryExtensionEditorPlugins	B	code	generated
GDExtensionGodotVersion2	FoundryExtensionGodotVersion2	B	code	generated
GDExtensionInterfaceDump	FoundryExtensionInterfaceDump	B	code	generated
GDExtensionLibraryLoader	FoundryExtensionLibraryLoader	B	code	generated
GDExtensionMethodBindPtr	FoundryExtensionMethodBindPtr	B	code	generated
GDExtensionPtrDestructor	FoundryExtensionPtrDestructor	B	code	generated
GDExtensionStringNamePtr	FoundryExtensionStringNamePtr	B	code	generated
p_gdextension_extensions	p_foundry_extension_extensions	B	code
GDExtensionConstTypePtr	FoundryExtensionConstTypePtr	B	code	generated
GDExtensionExportPlugin	FoundryExtensionExportPlugin	B	code	generated
GDExtensionGodotVersion	FoundryExtensionGodotVersion	B	code	generated
GDExtensionPropertyInfo	FoundryExtensionPropertyInfo	B	code	generated
initialize_gdextensions	initialize_foundry_extensions	B	code
p_gdextension_libs_path	p_foundry_extension_libs_path	B	code
GDExtensionClassGetRID	FoundryExtensionClassGetRID	B	code	generated
GDExtensionConstRefPtr	FoundryExtensionConstRefPtr	B	code	generated
GDExtensionVariantType	FoundryExtensionVariantType	B	code	generated
_gdextensions_reloaded	_foundry_extensions_reloaded	B	code
parse_gdextension_file	parse_foundry_extension_file	B	code
GDExtensionEditorHelp	FoundryExtensionEditorHelp	B	code	generated
GDExtensionMethodBind	FoundryExtensionMethodBind	B	code
GDExtensionMethodInfo	FoundryExtensionMethodInfo	B	code	generated
GDExtensionVariantPtr	FoundryExtensionVariantPtr	B	code	generated
finalize_gdextensions	finalize_foundry_extensions	B	code
GDExtensionCallError	FoundryExtensionCallError	B	code	generated
GDExtensionInterface	FoundryExtensionInterface	B	code
GDExtensionObjectPtr	FoundryExtensionObjectPtr	B	code	generated
GDExtensionPtrGetter	FoundryExtensionPtrGetter	B	code	generated
GDExtensionPtrSetter	FoundryExtensionPtrSetter	B	code	generated
GDExtensionStringPtr	FoundryExtensionStringPtr	B	code	generated
GDExtensionClassGet	FoundryExtensionClassGet	B	code	generated
GDExtensionClassSet	FoundryExtensionClassSet	B	code	generated
GDExtensionConstPtr	FoundryExtensionConstPtr	B	code	generated
GDExtensionAPIDump	FoundryExtensionAPIDump	B	code	generated
GDExtensionBinding	FoundryExtensionBinding	B	code	generated
GDExtensionManager	FoundryExtensionManager	B	code
GDExtensionTypePtr	FoundryExtensionTypePtr	B	code	generated
GDExtensionLoader	FoundryExtensionLoader	B	code
GDExtensionRefPtr	FoundryExtensionRefPtr	B	code	generated
GDExtensionXXXPtr	FoundryExtensionXXXPtr	B	code	generated
ObjectGDExtension	ObjectFoundryExtension	B	code	core object extension hook struct
gdextension-docs	foundryextension-docs	B	code	--gdextension-docs CLI flag
GDExtensionBool	FoundryExtensionBool	B	code	generated
GDExtensionData	FoundryExtensionData	B	code	generated
gdextensionLibs	foundryextensionLibs	B	code	web export config key
gdextensionlibs	foundryextensionlibs	B	code	android libs json path component
GDExtensionInt	FoundryExtensionInt	B	code	generated
GDExtensionPtr	FoundryExtensionPtr	B	code	generated
"gdextension"	"foundryextension"	B	code	resource loader recognized-extension string
_gdextension_	_foundry_extension_	B	code	leading-underscore gdextension prefix
.gdextension	.foundryextension	B	both	file format extension
GDEXTENSION_	FOUNDRY_EXTENSION_	B	code	all-caps macro/enum prefix (apply BEFORE bare GDEXTENSION)
GDExtensions	FoundryExtensions	B	code	generated
gdextension_	foundry_extension_	B	code	lowercase file/include/identifier prefix
gdextensions	foundry_extensions	B	code	bare plural (apply AFTER *_gdextensions compounds)
GDEXTENSION	FOUNDRY_EXTENSION	B	code	bare all-caps build define (apply AFTER GDEXTENSION_)
GDExtension	FoundryExtension	B	code	apply AFTER all GDExtension* compounds
gdextension	foundry_extension	B	code	bare lowercase token (apply AFTER gdextension_)
